id,community,airport,region,coordinates,runway,airline
"YDQ", "Dawson Creek", "Dawson Creek Airport", 9, "55\u00b044\u203232\u2033N120\u00b010\u203259\u2033W",1524,"eagle",
"YXJ", "Fort St. John", "Fort St. John Airport(North Peace Airport)", 9, "56\u00b014\u203217\u2033N120\u00b044\u203225\u2033W", 2106, ,
"YHN", "Hudson's Hope", "Hudson's Hope Airport", 9, "56\u00b002\u203208\u2033N121\u00b058\u203233\u2033W",1585, ,
"YCQ", "Chetwynd", "Chetwynd Airport",9,"55\u00b041\u203214\u2033N121\u00b037\u203236\u2033W", 1366, ,
